question,ground_truth
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Please list all rules relevant to `Aerodynamic/Aerodynamics`. Answer with only the rule numbers (i.e.: AA.1.1.1) separated by commas and no other words.

The rules relevant to `Aerodynamic/Aerodynamics` are:
","['T.7', 'T.7.1', 'T.7.1.1', 'T.7.1.3', 'T.7.2.1', 'T.7.2.2', 'T.7.3.1', 'T.7.3.3', 'T.7.4', 'T.7.5', 'T.7.6', 'T.7.6.3', 'T.7.7.1', 'IN.8.2', 'IN.8.2.1', 'IN.8.2.3', 'T.7.1.2', 'T.7.1.4', 'T.7.1.5', 'T.7.2', 'T.7.2.3', 'T.7.2.4', 'T.7.3', 'T.7.3.2', 'T.7.6.1', 'T.7.6.2', 'T.7.7', 'T.7.7.2', 'IN.8.2.2', 'GR.6.4.1', 'V.1.1', 'V.1.4.1']"
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Please list all rules relevant to `Tractive System`. Answer with only the rule numbers (i.e.: AA.1.1.1) separated by commas and no other words.

The rules relevant to `Tractive System` are:
","['F.1.10', 'F.11', 'F.11.1.3', 'F.11.2.1', 'F.11.2.2', 'T.1.8.1', 'T.1.9', 'T.1.9.1', 'T.1.9.2', 'T.4.3.3', 'EV.1.1', 'EV.1.2', 'EV.1.3', 'EV.2.1.1', 'EV.3.2.3', 'EV.4.2', 'EV.4.8', 'EV.4.9.1', 'EV.4.9.2', 'EV.5.1.1', 'EV.5.2.1', 'EV.5.2.2', 'EV.5.2.5', 'EV.5.6.3', 'EV.5.7.4', 'EV.5.8', 'EV.5.8.1', 'EV.5.9', 'EV.5.9.1', 'EV.5.10', 'EV.6.1.1', 'EV.6.1.2', 'EV.6.1.3', 'EV.6.3.1', 'EV.6.3.2', 'EV.6.3.3', 'EV.6.3.4', 'EV.6.3.5', 'EV.6.4.1', 'EV.6.4.3', 'EV.6.5.1', 'EV.6.5.2', 'EV.6.5.3', 'EV.6.5.9', 'EV.6.6.6', 'EV.6.7.1', 'EV.7.2.2', 'EV.7.2.3', 'EV.7.3.1', 'EV.7.6.1', 'EV.7.6.3', 'EV.7.6.4', 'EV.7.7.4', 'EV.7.8.2', 'EV.7.9.3', 'EV.8.4.2', 'EV.9.1', 'EV.9.3', 'EV.9.3.2', 'EV.9.4.2', 'EV.11.2.1', 'IN.4.1', 'IN.4.4.1', 'IN.4.4.2', 'IN.4.5.1', 'IN.4.5.3', 'IN.4.7.1', 'IN.11.1', 'IN.12.3.1', 'IN.12.3.2', 'IN.12.3.3', 'D.2.3', 'D.3.5.1', 'D.12.4.2', 'D.12.8.1', 'F.11.1', 'F.11.1.1', 'F.11.1.2', 'F.11.2', 'F.11.2.3', 'F.11.2.4', 'EV.5.8.2', 'EV.5.8.3', 'EV.5.8.5', 'EV.5.9.2', 'EV.5.9.3', 'EV.5.9.4', 'EV.5.9.5', 'EV.5.9.6', 'EV.9.3.1', 'F.1.13', 'F.5.16', 'F.6.4', 'F.7.5', 'EV.4.1.3', 'T.1.8', 'EV.6.7', 'F.10.5.8', 'T.9.1.1', 'EV.7.9', 'EV.7.8', 'EV.7.8.4', 'EV.5.4.3', 'T.9.1.2', 'EV.7.4', 'EV.7.5', 'EV.11.5', 'EV.8.3', 'EV.11.3.1', 'EV.9.2', 'EV.9.4', 'T.3.2', 'EV.8.1', 'EV.4.10', 'EV.5.1.4', 'IN.2.6', 'IN.14.2.2', 'D.12.4', 'EV.8.2']"
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Please list all rules relevant to `Shutdown System`. Answer with only the rule numbers (i.e.: AA.1.1.1) separated by commas and no other words.

The rules relevant to `Shutdown System` are:
","['IC.9', 'EV.7', 'IC.9.1', 'IC.9.1.1', 'IC.9.1.2', 'IC.9.1.3', 'IC.9.2', 'IC.9.2.1', 'IC.9.2.2', 'IC.9.3', 'IC.9.3.1', 'IC.9.3.2', 'IC.9.4', 'IC.9.4.1', 'IC.9.4.2', 'IC.9.4.3', 'EV.7.1', 'EV.7.1.1', 'EV.7.1.2', 'EV.7.1.3', 'EV.7.1.4', 'EV.7.1.5', 'EV.7.1.6', 'EV.7.2', 'EV.7.2.1', 'EV.7.2.2', 'EV.7.2.3', 'EV.7.2.4', 'EV.7.3', 'EV.7.3.1', 'EV.7.3.2', 'EV.7.3.3', 'EV.7.3.4', 'EV.7.3.5', 'EV.7.3.6', 'EV.7.4', 'EV.7.4.1', 'EV.7.4.2', 'EV.7.4.3', 'EV.7.4.4', 'EV.7.4.5', 'EV.7.5', 'EV.7.5.1', 'EV.7.5.2', 'EV.7.5.3', 'EV.7.5.4', 'EV.7.5.5', 'EV.7.5.6', 'EV.7.5.7', 'EV.7.6', 'EV.7.6.1', 'EV.7.6.2', 'EV.7.6.3', 'EV.7.6.4', 'EV.7.6.5', 'EV.7.6.6', 'EV.7.7', 'EV.7.7.1', 'EV.7.7.2', 'EV.7.7.3', 'EV.7.7.4', 'EV.7.8', 'EV.7.8.1', 'EV.7.8.2', 'EV.7.8.3', 'EV.7.8.4', 'EV.7.9', 'EV.7.9.1', 'EV.7.9.2', 'EV.7.9.3', 'EV.7.10', 'EV.7.10.1', 'EV.7.10.2', 'EV.7.10.3', 'EV.7.10.4', 'EV.7.10.5', 'EV.7.10.6', 'IC.4.8', 'T.3.3', 'T.9.4', 'IC.4.1.1', 'T.9.3', 'EV.5.4.3', 'T.9.1.2', 'EV.11.5', 'EV.8.3', 'EV.8.4', 'EV.4.7', 'EV.4.6', 'EV.4.1.3', 'EV.5.5.2', 'EV.5.10', 'EV.6.5', 'EV.4.4', 'EV.11.3.1']"
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Please list all rules relevant to `Accelerator Pedal Position Sensor/APPS`. Answer with only the rule numbers (i.e.: AA.1.1.1) separated by commas and no other words.

The rules relevant to `Accelerator Pedal Position Sensor/APPS` are:
","['T.4.2', 'IC.4.5', 'EV.4.5', 'T.4.2.1', 'T.4.2.2', 'T.4.2.3', 'T.4.2.4', 'T.4.2.5', 'T.4.2.6', 'T.4.2.7', 'T.4.2.8', 'T.4.2.9', 'T.4.2.10', 'T.4.2.11', 'T.4.2.12', 'T.1.4.1', 'T.4.2', 'T.4.2.1', 'T.4.2.2', 'T.4.2.3', 'T.4.2.5', 'T.4.2.6', 'T.4.2.7', 'T.4.2.8', 'T.4.2.9', 'T.4.2.10', 'T.4.2.11', 'T.4.2.12', 'IC.4.5', 'EV.4.5', 'EV.4.7', 'EV.4.7.1', 'EV.4.7.2', 'EV.7.7.1', 'EV.9.4.1', 'T.4.2.4', 'T.1.4.1', 'EV.4.6', 'T.3.2.4']"
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Please list all rules relevant to `Brake Pedal`. Answer with only the rule numbers (i.e.: AA.1.1.1) separated by commas and no other words.

The rules relevant to `Brake Pedal` are:
","['T.3.2', 'T.3.2.1', 'T.3.2.2', 'T.3.2.3', 'T.3.2.4', 'T.3.3.1', 'T.4.3.1', 'EV.4.7', 'EV.7.7.1', 'EV.7.7.4', 'EV.9.4.2', 'EV.4.7.1', 'EV.4.7.2', 'EV.9.3', 'EV.4.6', 'EV.4.5']"
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Please list all rules relevant to `Suspension`. Answer with only the rule numbers (i.e.: AA.1.1.1) separated by commas and no other words.

The rules relevant to `Suspension` are:
","['V.3', 'V.3.1', 'V.3.1.1', 'V.3.1.2', 'V.3.1.3', 'V.3.1.4', 'V.3.1.5', 'V.3.2.4', 'F.3.4.3', 'F.5.4.3', 'T.1.3.3', 'T.1.3.4', 'T.7.2.3', 'IC.5.3.1', 'IN.14.2.1', 'IN.14.2.3', 'V.3.2', 'V.3.2.1', 'V.3.2.2', 'V.3.2.3', 'V.3.2.5', 'V.3.2.6', 'V.3.2.7', 'V.3.2.8', 'V.3.2.9', 'V.3.2.10', 'V.3.3', 'V.3.3.1', 'V.3.3.2', 'V.3.3.3', 'V.3.3.4', 'T.8.2', 'V.4.3.4', 'T.7.1', 'F.5.14', 'T.1.4.4']"
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Please list all rules relevant to `Battery`. Answer with only the rule numbers (i.e.: AA.1.1.1) separated by commas and no other words.

The rules relevant to `Battery` are:
","['F.10.4.3', 'T.9.2.4', 'T.9.2.5', 'IC.9.3.2', 'EV.1.3', 'EV.6.6.3', 'EV.6.6.5', 'EV.7.7.2', 'EV.6.6.2', 'EV.7.2.2', 'EV.4.6']"
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Please list all rules relevant to `Chassis`. Answer with only the rule numbers (i.e.: AA.1.1.1) separated by commas and no other words.

The rules relevant to `Chassis` are:
","['V.3.2.4', 'V.3.2.6', 'F.1.1', 'F.1.3', 'F.1.12', 'F.4.3.2', 'F.4.4.1', 'F.4.4.2', 'F.4.4.3', 'F.5', 'F.5.1.2', 'F.5.2.3', 'F.5.6.1', 'F.5.8.3', 'F.5.8.4', 'F.5.9.7', 'F.5.14', 'F.6.5.1', 'F.7.8.8', 'F.8', 'F.8.3.2', 'F.8.4.2', 'F.8.8.6', 'F.9.1.2', 'F.10.3.3', 'F.10.5.2', 'F.10.5.8', 'T.1.3.1', 'T.1.3.2', 'T.1.4.3', 'T.2.4.4', 'T.2.5.8', 'T.2.6.4', 'T.2.7.5', 'T.2.9', 'T.3.1.9', 'T.3.2.2', 'T.5.5.4', 'T.5.6.5', 'T.6.1.7', 'T.7.3.3', 'T.7.6.1', 'T.7.7.1', 'T.9.2.1', 'VE.1.1.1', 'IC.2.3.3', 'IC.5.3.1', 'EV.4.4.1', 'EV.6.5.2', 'F.5.1', 'F.5.1.1', 'F.5.2', 'F.5.2.1', 'F.5.2.2', 'F.5.3', 'F.5.3.1', 'F.5.3.2', 'F.5.3.3', 'F.5.4', 'F.5.4.1', 'F.5.4.2', 'F.5.4.3', 'F.5.5', 'F.5.5.1', 'F.5.5.2', 'F.5.5.3', 'F.5.6', 'F.5.6.2', 'F.5.6.3', 'F.5.6.4', 'F.5.6.5', 'F.5.7', 'F.5.7.1', 'F.5.7.2', 'F.5.7.3', 'F.5.7.4', 'F.5.7.5', 'F.5.7.6', 'F.5.7.7', 'F.5.8', 'F.5.8.1', 'F.5.8.2', 'F.5.9', 'F.5.9.1', 'F.5.9.2', 'F.5.9.3', 'F.5.9.4', 'F.5.9.5', 'F.5.9.6', 'F.5.10', 'F.5.10.1', 'F.5.10.2', 'F.5.11', 'F.5.11.1', 'F.5.11.2', 'F.5.11.3', 'F.5.12', 'F.5.12.1', 'F.5.12.2', 'F.5.12.3', 'F.5.12.4', 'F.5.12.5', 'F.5.12.6', 'F.5.12.7', 'F.5.13', 'F.5.13.1', 'F.5.13.2', 'F.5.15', 'F.5.16', 'F.8.1', 'F.8.1.1', 'F.8.1.2', 'F.8.2', 'F.8.2.1', 'F.8.2.2', 'F.8.2.3', 'F.8.3', 'F.8.3.1', 'F.8.4', 'F.8.4.1', 'F.8.4.3', 'F.8.5', 'F.8.5.1', 'F.8.5.3', 'F.8.5.4', 'F.8.5.5', 'F.8.5.6', 'F.8.5.7', 'F.8.6', 'F.8.6.1', 'F.8.6.2', 'F.8.6.3', 'F.8.7', 'F.8.7.1', 'F.8.7.2', 'F.8.7.3', 'F.8.7.4', 'F.8.7.5', 'F.8.8', 'F.8.8.1', 'F.8.8.2', 'F.8.8.3', 'F.8.8.4', 'F.8.8.5', 'F.8.8.7', 'F.8.8.8', 'F.4.3.4', 'F.4.4', 'F.2.3', 'F.7.8', 'F.3.2.1', 'F.4.3.5', 'F.6.4', 'F.7.5', 'T.8.2', 'T.2.6', 'F.3.2', 'F.3.4', 'F.3.5', 'V.2.1.1', 'T.2.8.3', 'T.2.8', 'F.1.15', 'F.4.1.3', 'F.2.3.1', 'F.6.1', 'F.7.2']"
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Please list all rules relevant to `Primary Structure`. Answer with only the rule numbers (i.e.: AA.1.1.1) separated by commas and no other words.

The rules relevant to `Primary Structure` are:
","['F.1.10', 'F.1.11', 'F.1.12', 'F.1.13', 'F.2.1.2', 'F.4.3.2', 'F.5.1', 'F.5.1.1', 'F.5.2.3', 'F.5.4', 'F.5.4.1', 'F.5.4.2', 'F.5.4.3', 'F.5.6.2', 'F.5.14', 'F.8.5.5', 'F.8.6.3', 'F.9.1.1', 'F.11.1.1', 'T.1.1.2', 'T.2.4.1', 'T.2.7.2', 'F.5.1.2', 'F.4.3.4', 'F.3.2', 'F.3.4', 'F.3.5', 'T.8.2', 'F.6.4', 'F.7.5', 'F.3.2.1', 'F.6.1', 'F.7.2', 'F.8.4.3', 'F.7.5.1', 'F.2.3', 'F.5.5', 'F.7.8']"
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Please list all rules relevant to `Critical Fasteners/Critical Fastener`. Answer with only the rule numbers (i.e.: AA.1.1.1) separated by commas and no other words.

The rules relevant to `Critical Fasteners/Critical Fastener` are:
","['V.3.1.4', 'V.3.2.8', 'F.5.4.2', 'F.5.12.1', 'F.5.13.1', 'F.7.8.7', 'F.8.2.3', 'F.8.5.5', 'F.10.5.3', 'T.2.4.4', 'T.2.5.8', 'T.2.6.4', 'T.2.7.5', 'T.3.1.10', 'T.5.2.9', 'T.8.1', 'T.8.2.2', 'T.8.2.3', 'IC.6.1.2', 'IC.6.2.4', 'T.8.2', 'F.5.12.5', 'F.5.12.7', 'F.7.8.5', 'T.8.3', 'V.3.1.4', 'V.3.2.8', 'F.5.4.2', 'F.5.12.1', 'F.5.13.1', 'F.7.8.7', 'F.8.2.3', 'F.8.5.5', 'F.10.5.3', 'T.2.4.4', 'T.2.5.8', 'T.2.6.4', 'T.2.7.5', 'T.3.1.10', 'T.5.2.9', 'T.8.1', 'T.8.2', 'T.8.2.1', 'T.8.2.2', 'T.8.2.3', 'T.8.2.5', 'IC.6.1.2', 'IC.6.2.4', 'T.8.2.4', 'F.5.12.5', 'F.5.12.7', 'F.7.8.5', 'T.8.3']"
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Please list all rules relevant to `Envelope`. Answer with only the rule numbers (i.e.: AA.1.1.1) separated by commas and no other words.

The rules relevant to `Envelope` are:
","['F.1.11', 'F.1.12', 'F.1.13', 'F.1.14', 'F.1.15', 'F.5.11.1', 'F.11.1.3', 'T.2.8.3', 'IC.1.2', 'EV.5.9.5', 'EV.1.1', 'F.11.1.2', 'F.5.16', 'F.5.10']"
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Please list all rules relevant to `Tube/Tubing/Tubes`. Answer with only the rule numbers (i.e.: AA.1.1.1) separated by commas and no other words.

The rules relevant to `Tube/Tubing/Tubes` are:
","['F.1.13', 'F.1.15', 'F.1.17', 'F.2.3.3', 'F.3.4.3', 'F.4.3.3', 'F.4.3.4', 'F.5.1.2', 'F.5.2', 'F.5.2.1', 'F.5.2.3', 'F.5.3.2', 'F.5.8.3', 'F.5.8.4', 'F.5.12.1', 'F.5.12.4', 'F.5.12.6', 'F.5.15', 'F.5.16', 'F.6', 'F.6.2.4', 'F.6.6.2', 'F.7.2.1', 'F.7.3.1', 'F.7.3.2', 'F.7.4.1', 'F.7.5.2', 'F.7.5.3', 'F.7.6.1', 'F.7.8.2', 'F.7.8.7', 'F.8.2.2', 'F.10.5.2', 'F.11.2.2', 'T.1.1.4', 'T.1.2.3', 'T.1.5.1', 'T.1.6.3', 'T.2.4.4', 'T.2.5.6', 'T.2.6.3', 'T.2.7.4', 'VE.2.1.2', 'IC.5.2.1', 'IC.5.4', 'IC.5.4.3', 'IC.5.4.4', 'IC.5.4.5', 'IC.5.4.6', 'IN.8.3.2', 'F.5.2.2', 'F.6.1', 'F.6.2', 'F.6.2.1', 'F.6.2.2', 'F.6.2.3', 'F.6.2.5', 'F.6.3', 'F.6.3.1', 'F.6.3.2', 'F.6.3.3', 'F.6.3.4', 'F.6.3.5', 'F.6.3.6', 'F.6.4', 'F.6.4.1', 'F.6.4.2', 'F.6.4.3', 'F.6.4.4', 'F.6.4.5', 'F.6.4.6', 'F.6.5', 'F.6.5.1', 'F.6.5.2', 'F.6.5.3', 'F.6.6', 'F.6.6.1', 'IC.5.4.1', 'IC.5.4.2', 'IC.5.4.7', 'IC.5.4.8', 'F.3.2.1', 'F.4.3.2', 'F.4.3', 'F.5.1.1', 'F.2.3', 'F.5.4', 'F.5.5', 'F.7.8', 'F.5.6.2', 'F.5.9.5', 'T.8.2', 'F.5.12.5', 'F.5.12.7', 'F.4.1.3', 'F.4.4', 'F.11.2', 'F.7.8.5', 'F.7.5', 'F.7.9', 'T.2.4.3', 'F.7.4.3', 'F.5.9.6', 'F.1.2', 'F.2.3.2', 'F.3', 'F.3.1', 'F.3.2', 'F.3.3', 'F.3.3.1', 'F.3.3.2', 'F.3.4', 'F.3.4.3', 'F.3.5', 'F.3.5.2', 'F.3.5.3', 'F.4.1.3', 'F.5.1.1', 'F.5.1.2', 'F.5.3', 'F.5.3.1', 'F.5.3.3', 'F.5.6.2', 'F.5.7.1', 'F.5.7.2', 'F.5.8.1', 'F.5.8.3', 'F.5.9.1', 'F.5.10.1', 'F.6.1', 'F.6.2.1', 'F.6.4.1', 'F.6.4.2', 'F.6.5.1', 'F.6.6.1', 'T.1.5.1', 'F.3.4.2', 'F.3.5.1', 'F.5.3.2', 'F.3.2.1', 'F.3.4.1', 'F.2.3', 'F.5.4', 'F.5.5', 'F.7.8', 'F.6.4', 'F.7.5', 'F.5.9.5', 'F.5.9.2', 'F.5.2.1', 'F.5.2.2', 'F.5.2.3', 'F.1.17', 'F.2.3.3', 'F.4.3.3', 'F.4.3.4', 'F.5.2', 'F.5.2.3', 'F.5.3.2', 'F.5.8.4', 'F.5.12.1', 'F.5.12.6', 'F.5.16', 'F.6.2.4', 'F.6.6.2', 'F.7.2.1', 'F.7.3.1', 'F.7.5.2', 'F.7.5.3', 'F.8.2.2', 'F.11.2.2', 'T.1.1.4', 'T.1.2.3', 'T.1.5.1', 'T.2.7.4', 'IN.8.3.2', 'F.5.2.1', 'F.5.2.2', 'F.3.2.1', 'F.4.3.2', 'F.4.3', 'F.5.6.2', 'T.8.2', 'F.5.12.5', 'F.5.12.7', 'F.4.1.3', 'F.6.1', 'F.4.4', 'F.6.4', 'F.7.5', 'F.7.9', 'T.2.4.3', 'F.6.4.5', 'F.7.4.3']"
