question,ground_truth
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Please list all rules relevant to `Material properties/material/materials`. Answer with only the rule numbers (i.e.: AA.1.1.1) separated by commas and no other words.

The rules relevant to `Material properties/material/materials` are:
","['F.3.5.2', 'F.4.1.1', 'F.4.3.6', 'F.3.4.1', 'F.3.4.2', 'F.4.2', 'F.1.18', 'F.2.5', 'F.3', 'F.3.4', 'F.3.4.2', 'F.3.4.3', 'F.3.5', 'F.3.5.1', 'F.3.5.2', 'F.4', 'F.4.1', 'F.4.1.1', 'F.4.1.2', 'F.4.1.4', 'F.4.3', 'F.4.3.1', 'F.4.3.2', 'F.4.3.4', 'F.4.3.5', 'F.4.3.6', 'F.4.3.7', 'F.5', 'F.5.1.1', 'F.6.3.1', 'F.6.5.2', 'F.7.1.5', 'F.7.8.6', 'F.8.2.1', 'F.8.3.2', 'F.8.8.6', 'F.10.1.1', 'F.10.1.2', 'F.10.1.4', 'F.10.2.1', 'F.10.2.2', 'F.10.3.1', 'F.10.5.4', 'T.1.3.3', 'T.1.6.1', 'T.1.6.3', 'T.1.7.3', 'T.1.8.2', 'T.2.4.2', 'T.2.8.3', 'T.2.8.6', 'T.5.2.2', 'T.5.2.4', 'T.5.2.10', 'T.5.3.1', 'T.5.5.5', 'T.6.1.6', 'T.9.2.5', 'VE.3.1.2', 'VE.3.1.3', 'VE.3.3.1', 'VE.3.3.3', 'VE.3.3.4', 'VE.3.3.5', 'VE.3.3.6', 'IC.5.3.1', 'IC.5.3.2', 'IC.6.1.2', 'IC.7.1.1', 'IC.7.2.4', 'EV.4.9.2', 'EV.5.2.2', 'EV.5.2.3', 'EV.5.4.4', 'EV.6.1.1', 'EV.6.2.1', 'EV.6.4.1', 'IN.14.2.1', 'IN.14.2.3', 'S.3.5', 'S.3.5.1', 'S.3.8.2', 'S.3.11.2', 'S.3.12.4', 'S.3.12.5', 'S.3.14.1', 'S.4.7', 'S.4.7.1', 'F.3.1', 'F.3.2', 'F.3.3', 'F.3.3.1', 'F.3.3.2', 'F.3.5.3', 'F.4.1.3', 'F.4.2', 'F.4.3.3', 'F.4.4', 'F.4.4.1', 'F.4.4.2', 'F.4.4.3', 'F.5.1', 'F.5.1.2', 'F.5.2', 'F.5.2.1', 'F.5.2.2', 'F.5.2.3', 'F.5.3', 'F.5.3.1', 'F.5.3.2', 'F.5.3.3', 'F.5.4', 'F.5.4.1', 'F.5.4.2', 'F.5.4.3', 'F.5.5', 'F.5.5.1', 'F.5.5.2', 'F.5.5.3', 'F.5.6', 'F.5.6.1', 'F.5.6.2', 'F.5.6.3', 'F.5.6.4', 'F.5.6.5', 'F.5.7', 'F.5.7.1', 'F.5.7.2', 'F.5.7.3', 'F.5.7.4', 'F.5.7.5', 'F.5.7.6', 'F.5.7.7', 'F.5.8', 'F.5.8.1', 'F.5.8.2', 'F.5.8.3', 'F.5.8.4', 'F.5.9', 'F.5.9.1', 'F.5.9.2', 'F.5.9.3', 'F.5.9.4', 'F.5.9.5', 'F.5.9.6', 'F.5.9.7', 'F.5.10', 'F.5.10.1', 'F.5.10.2', 'F.5.11', 'F.5.11.1', 'F.5.11.2', 'F.5.11.3', 'F.5.12', 'F.5.12.1', 'F.5.12.2', 'F.5.12.3', 'F.5.12.4', 'F.5.12.5', 'F.5.12.6', 'F.5.12.7', 'F.5.13', 'F.5.13.1', 'F.5.13.2', 'F.5.14', 'F.5.15', 'F.5.16', 'S.4.7.2', 'F.3.2.1', 'F.3.4.1', 'F.7.3.3', 'F.7.5.5', 'F.8.3', 'F.1.13', 'T.3.1.8', 'EV.4.1', 'T.8.2', 'EV.6.7', 'V.4.3.4', 'T.7.1', 'S.3.10', 'F.2.3', 'F.7.8', 'F.6.4', 'F.7.5', 'V.2.1.1', 'T.2.8', 'F.1.15', 'F.2.5', 'F.3.5', 'F.3.5.1', 'F.3.5.2', 'F.4', 'F.4.1.4', 'F.4.3.5', 'F.4.3.7', 'F.5.1.1', 'F.7.1.5', 'F.7.8.6', 'F.10.1.2', 'F.10.2.1', 'F.10.2.2', 'F.10.5.4', 'T.1.6.1', 'VE.3.1.2', 'IC.6.1.2', 'IC.7.1.1', 'S.3.5', 'S.3.5.1', 'S.3.8.2', 'S.3.11.2', 'S.3.12.5', 'S.3.14.1', 'S.4.7.1', 'F.3.5.3', 'F.4.1', 'F.4.1.1', 'F.4.1.2', 'F.4.1.3', 'F.4.2', 'F.4.3', 'F.4.3.1', 'F.4.3.2', 'F.4.3.3', 'F.4.3.4', 'F.4.3.6', 'F.4.4', 'F.4.4.1', 'F.4.4.2', 'F.4.4.3', 'F.3.2.1', 'F.3.4.1', 'F.3.4.2', 'F.7.3.3', 'F.7.5.5', 'F.3.2', 'F.3.4', 'T.8.2', 'T.1.6.3', 'S.3.10']"
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Please list all rules relevant to `External Items/External Item`. Answer with only the rule numbers (i.e.: AA.1.1.1) separated by commas and no other words.

The rules relevant to `External Items/External Item` are:
","['F.5.11', 'F.5.11.2', 'F.5.11.3', 'F.5.11.1', 'F.3.2.1', 'F.1.15', 'F.5.11', 'F.5.11.2', 'F.5.11.3', 'F.5.11.1', 'F.3.2.1', 'F.1.15']"
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Please list all rules relevant to `Impact Attenuator`. Answer with only the rule numbers (i.e.: AA.1.1.1) separated by commas and no other words.

The rules relevant to `Impact Attenuator` are:
","['F.1.9', 'F.8.1.1', 'F.8.1.2', 'F.8.3.1', 'F.8.4', 'F.8.4.1', 'F.8.4.2', 'F.8.4.3', 'F.8.5', 'F.8.5.1', 'F.8.5.3', 'F.8.5.4', 'F.8.5.5', 'F.8.5.6', 'F.8.5.7', 'F.8.7.1', 'F.8.7.2', 'F.8.7.4', 'F.8.8', 'F.8.8.1', 'F.8.8.2', 'F.8.8.3', 'F.8.8.4', 'F.8.8.5', 'F.8.8.6', 'F.8.8.7', 'IN.8.1', 'F.8.8.8', 'F.3.2.1', 'F.2.3.1', 'F.5.5', 'T.8.2', 'V.4.3.1', 'VE.2.2', 'F.2.1', 'F.4.3', 'F.10.2.1', 'F.10.2.2']"
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Please list all rules relevant to `Accumulator`. Answer with only the rule numbers (i.e.: AA.1.1.1) separated by commas and no other words.

The rules relevant to `Accumulator` are:
","['F.7.8.8', 'F.10', 'F.10.1.1', 'F.10.1.2', 'F.10.1.3', 'F.10.1.4', 'F.10.3.1', 'F.10.3.2', 'F.10.4.1', 'F.10.5.1', 'F.10.5.2', 'F.10.5.3', 'F.10.5.4', 'F.10.5.5', 'F.10.5.6', 'F.10.5.8', 'F.11.1.1', 'F.11.2.1', 'F.11.2.2', 'F.11.2.3', 'T.1.6.3', 'T.1.8.5', 'T.5.4.2', 'T.5.4.3', 'EV.1.1', 'EV.1.3', 'EV.4.2', 'EV.4.3', 'EV.4.3.1', 'EV.4.3.2', 'EV.4.3.3', 'EV.4.3.4', 'EV.4.3.5', 'EV.4.3.6', 'EV.4.3.8', 'EV.4.4.1', 'EV.4.10', 'EV.4.10.1', 'EV.4.10.2', 'EV.4.10.3', 'EV.4.10.4', 'EV.5.1', 'EV.5.1.1', 'EV.5.1.2', 'EV.5.1.4', 'EV.5.2.2', 'EV.5.2.3', 'EV.5.2.5', 'EV.5.3.1', 'EV.5.3.2', 'EV.5.3.3', 'EV.5.4', 'EV.5.4.1', 'EV.5.4.2', 'EV.5.4.3', 'EV.5.4.4', 'EV.5.5', 'EV.5.6.1', 'EV.5.7', 'EV.5.7.1', 'EV.5.7.4', 'EV.5.8.2', 'EV.5.9.3', 'EV.5.9.4', 'EV.6.1.3', 'EV.6.5.4', 'EV.7.1.1', 'EV.7.1.2', 'EV.7.2.2', 'EV.7.3', 'EV.7.3.1', 'EV.7.4', 'EV.7.5', 'EV.7.5.1', 'EV.7.5.5', 'EV.7.7.2', 'EV.8.2.4', 'EV.8.3.1', 'EV.8.4.1', 'EV.8.4.2', 'EV.9.3.1', 'EV.10.1.1', 'EV.10.1.2', 'EV.10.2', 'EV.10.2.1', 'EV.11.2.1', 'EV.11.2.2', 'EV.11.4', 'EV.11.4.1', 'EV.11.4.2', 'EV.11.5.1', 'EV.11.5.2', 'EV.11.5.3', 'EV.11.5.4', 'IN.4.1', 'IN.4.2', 'IN.4.3', 'IN.4.3.1', 'IN.4.3.2', 'IN.8.1', 'IN.14.2.3', 'D.2.2', 'F.10.1', 'F.10.1.5', 'F.10.2', 'F.10.2.1', 'F.10.2.2', 'F.10.2.3', 'F.10.2.4', 'F.10.3', 'F.10.3.3', 'F.10.3.4', 'F.10.4', 'F.10.4.2', 'F.10.4.3', 'F.10.4.4', 'F.10.5', 'EV.4.3.7', 'EV.5.1.3', 'EV.5.4.5', 'EV.5.5.1', 'EV.5.5.2', 'EV.5.5.3', 'EV.5.7.2', 'EV.5.7.3', 'EV.7.3.2', 'EV.7.3.3', 'EV.7.3.4', 'EV.7.3.5', 'EV.7.3.6', 'EV.7.4.1', 'EV.7.4.2', 'EV.7.4.3', 'EV.7.4.4', 'EV.7.4.5', 'EV.7.5.2', 'EV.7.5.3', 'EV.7.5.4', 'EV.7.5.6', 'EV.7.5.7', 'EV.10.2.2', 'EV.11.4.3', 'EV.11.4.4', 'F.1.18', 'T.8.2', 'F.10.5.7', 'F.1.10', 'F.6.4', 'F.7.5', 'F.5.16', 'EV.6.1', 'T.9.1.1', 'EV.6.7', 'EV.6.6', 'EV.11.3.2', 'EV.7.1', 'EV.8.2', 'EV.5.6', 'EV.7.6', 'EV.5.9.1', 'EV.3.1', 'EV.7.7', 'EV.7.8', 'EV.7.9', 'EV.7.10', 'T.3.3', 'T.9.4', 'T.9.1.2', 'EV.11.5', 'EV.8.3', 'EV.4.6', 'EV.8.2.7', 'EV.8.1', 'V.4.3.1', 'VE.2.2', 'F.2.1', 'F.4.3', 'F.8.8.7', 'V.4.3.4', 'T.7.1', 'F.4.1', 'F.5.5', 'EV.6.1.2', 'EV.7.2', 'EV.8.4', 'EV.7.2.3']"
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Please list all rules relevant to `Firewall`. Answer with only the rule numbers (i.e.: AA.1.1.1) separated by commas and no other words.

The rules relevant to `Firewall` are:
","['F.6.5.3', 'F.10.4.4', 'T.1.1.4', 'T.1.6.2', 'T.1.7.2', 'T.1.8', 'T.1.8.1', 'T.1.8.2', 'T.1.8.3', 'T.1.8.4', 'T.1.8.5', 'T.1.9', 'T.1.9.1', 'T.1.9.2', 'T.5.6.2', 'T.7.2.3', 'IC.5.2.3', 'EV.4.3.7', 'EV.6.7.1', 'EV.4.1.3', 'EV.6.7']"
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Please list all rules relevant to `Powertrain`. Answer with only the rule numbers (i.e.: AA.1.1.1) separated by commas and no other words.

The rules relevant to `Powertrain` are:
","['T.1.4.1', 'T.5', 'T.5.6.1', 'IC.1.1.2', 'EV.3.3.3', 'IN.14.2.3', 'D.2.3', 'T.5.1', 'T.5.2', 'T.5.2.1', 'T.5.2.2', 'T.5.2.3', 'T.5.2.4', 'T.5.2.5', 'T.5.2.6', 'T.5.2.7', 'T.5.2.8', 'T.5.2.9', 'T.5.2.10', 'T.5.3', 'T.5.3.1', 'T.5.3.2', 'T.5.3.3', 'T.5.4', 'T.5.4.1', 'T.5.4.2', 'T.5.4.3', 'T.5.5', 'T.5.5.1', 'T.5.5.2', 'T.5.5.3', 'T.5.5.4', 'T.5.5.5', 'T.5.6', 'T.5.6.2', 'T.5.6.3', 'T.5.6.4', 'T.5.6.5', 'V.4.3.4', 'T.7.1', 'T.3.1.8', 'T.8.2', 'EV.4.1']"
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Please list all rules relevant to `Catch Cans`. Answer with only the rule numbers (i.e.: AA.1.1.1) separated by commas and no other words.

The rules relevant to `Catch Cans` are:
","['T.5.6', 'T.5.6.1', 'T.5.6.2', 'T.5.6.3', 'T.5.6.4', 'T.5.6.5']"
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Please list all rules relevant to `Thermal Protection`. Answer with only the rule numbers (i.e.: AA.1.1.1) separated by commas and no other words.

The rules relevant to `Thermal Protection` are:
","['T.1.6', 'T.6.1.6', 'T.1.6.1', 'T.1.6.2', 'T.1.6.3']"
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Please list all rules relevant to `Scatter Shields`. Answer with only the rule numbers (i.e.: AA.1.1.1) separated by commas and no other words.

The rules relevant to `Scatter Shields` are:
","['T.3.1.8', 'T.5.2.1', 'T.5.2.5', 'T.5.2.7', 'T.5.2.8', 'T.5.2.9', 'T.5.2', 'T.8.2']"
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Please list all rules relevant to `Coolant`. Answer with only the rule numbers (i.e.: AA.1.1.1) separated by commas and no other words.

The rules relevant to `Coolant` are:
","['T.1.6.3', 'T.5.4', 'T.5.4.2', 'T.5.4.3', 'T.5.6.3', 'T.5.6.4', 'IC.2.5.1', 'T.5.4.1']"
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Please list all rules relevant to `Butt Joints/Butt Joint`. Answer with only the rule numbers (i.e.: AA.1.1.1) separated by commas and no other words.

The rules relevant to `Butt Joints/Butt Joint` are:
","['F.5.12.6', 'F.5.12.2', 'F.5.12.6', 'F.5.12.7', 'F.5.12.1']"
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Please list all rules relevant to `Inertia Switch`. Answer with only the rule numbers (i.e.: AA.1.1.1) separated by commas and no other words.

The rules relevant to `Inertia Switch` are:
","['T.9.4', 'T.9.4.1', 'T.9.4.2', 'T.9.4.3', 'IC.9.1.1', 'EV.7.1.1', 'IC.9.2.2', 'EV.7.2.2', 'IC.9.3', 'IC.9.4', 'IC.4.8', 'T.3.3', 'EV.7.3', 'EV.7.6', 'EV.7.7', 'EV.7.8', 'EV.7.9', 'EV.7.10']"
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Please list all rules relevant to `Transponder`. Answer with only the rule numbers (i.e.: AA.1.1.1) separated by commas and no other words.

The rules relevant to `Transponder` are:
","['VE.1.5', 'VE.1.5.1', 'VE.1.5.2']"
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Please list all rules relevant to `Brake Over Travel Switch/BOTS`. Answer with only the rule numbers (i.e.: AA.1.1.1) separated by commas and no other words.

The rules relevant to `Brake Over Travel Switch/BOTS` are:
","['T.3.3', 'T.3.3.1', 'EV.7.1.1', 'T.3.3.2', 'T.3.3.3', 'T.3.3.4', 'T.3.3.5', 'T.3.3.6', 'EV.7.3', 'EV.7.6', 'EV.7.7', 'EV.7.8', 'EV.7.9', 'EV.7.10', 'T.9.4', 'IC.9.2.2', 'EV.7.2.2', 'T.3.3', 'T.3.3.1', 'T.3.3.2', 'T.3.3.3', 'T.3.3.5', 'T.3.3.6', 'IC.9.1.1', 'EV.7.1.1', 'EV.7.1.5', 'IN.10.7', 'T.3.3.4', 'IC.9.2.2', 'EV.7.2.2', 'IC.9.3', 'IC.9.4', 'IC.4.8', 'T.9.4', 'EV.7.3', 'EV.7.6', 'EV.7.7', 'EV.7.8', 'EV.7.9', 'EV.7.10']"
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Please list all rules relevant to `Wiring`. Answer with only the rule numbers (i.e.: AA.1.1.1) separated by commas and no other words.

The rules relevant to `Wiring` are:
","['F.11.1.3', 'T.1.8.4', 'T.4.2.9', 'T.4.3.3', 'T.8.3.2', 'IC.4.4.7', 'EV.4.1.3', 'EV.4.3.4', 'EV.6.3', 'EV.6.3.2', 'EV.6.3.3', 'EV.6.3.4', 'EV.6.3.5', 'EV.7.8.4', 'EV.6.3.1', 'EV.1.1', 'F.11.1.2', 'F.1.13', 'F.5.16', 'T.4.2.4', 'EV.7.8', 'EV.7.2.2', 'F.10.4', 'EV.6.1', 'EV.6.5']"
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Please list all rules relevant to `Grounded Low Voltage/GLV`. Answer with only the rule numbers (i.e.: AA.1.1.1) separated by commas and no other words.

The rules relevant to `Grounded Low Voltage/GLV` are:
","['EV.1.2', 'EV.4.4', 'EV.6.6.6', 'EV.7.9.2', 'EV.4.4.1', 'EV.4.4.2', 'EV.4.4.3', 'EV.4.4.4', 'EV.7.9.1', 'EV.5.8', 'T.9.2', 'EV.1.2', 'EV.4.4.1', 'EV.4.4.2', 'EV.4.4.3', 'EV.4.9.2', 'EV.5.2.2', 'EV.5.2.5', 'EV.5.9.1', 'EV.6.4.2', 'EV.6.5.1', 'EV.6.5.3', 'EV.6.5.4', 'EV.6.7.2', 'EV.7.1.1', 'EV.7.1.5', 'EV.7.2.1', 'EV.7.5.7', 'EV.7.9.2', 'EV.9.1', 'EV.9.2', 'EV.9.3.2', 'IN.4.5.1', 'EV.7.9.1', 'EV.5.8', 'EV.6.7', 'EV.7.8.4', 'EV.5.4', 'EV.5.6', 'EV.7.3', 'EV.7.6', 'EV.3.1', 'EV.7.7', 'EV.7.8', 'EV.7.9', 'EV.7.10', 'T.3.3', 'T.9.4', 'EV.4.4', 'EV.9.3', 'EV.9.4', 'EV.7.2.4']"
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Please list all rules relevant to `Grounding`. Answer with only the rule numbers (i.e.: AA.1.1.1) separated by commas and no other words.

The rules relevant to `Grounding` are:
","['T.1.9.2', 'EV.6.7', 'EV.6.7.1', 'EV.6.7.2', 'EV.6.7.3', 'T.1.9']"
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Please list all rules relevant to `Lighting/Light/Lights`. Answer with only the rule numbers (i.e.: AA.1.1.1) separated by commas and no other words.

The rules relevant to `Lighting/Light/Lights` are:
","['IC.5.4.6', 'F.6.5.3', 'F.8.6.1', 'F.8.7.1', 'T.2.7.1', 'T.3.4', 'T.3.4.1', 'T.3.4.2', 'T.3.4.3', 'IC.5.4.6', 'IC.9.3.2', 'EV.4.3.8', 'EV.4.9.1', 'EV.5.9', 'EV.5.9.1', 'EV.5.9.2', 'EV.5.9.5', 'EV.5.9.6', 'EV.7.3.5', 'EV.7.3.6', 'EV.7.6.5', 'EV.7.6.6', 'EV.7.9.3', 'IN.12.3.3', 'D.9.2.3', 'D.10.2.3', 'D.11.2.3', 'D.12.6.1', 'T.3.4.4', 'EV.5.9.3', 'EV.5.9.4', 'F.8.8.2', 'T.9.1.1', 'F.1.13', 'EV.7.3.4', 'EV.7.2.2', 'EV.7.2.3', 'EV.7.6.4', 'EV.11.3.1', 'T.3.4.3', 'IC.9.3.2', 'EV.5.9.2', 'EV.5.9.5', 'F.1.13']"
